id,city,latitude,longitude,country,fetch_date,forecast_end_date,avg_temp_7j,avg_humidity_7j,total_rain_7j,avg_pop_7j,beauty_score
22,Aix en Provence,43.5298424,5.4474738,France,2026-05-28,2026-06-03,28.9,35.86,1.43,21.57,83.16
25,Nimes,43.8374249,4.3600687,France,2026-05-28,2026-06-03,30.0,31.71,1.92,28.57,82.45
24,Uzes,44.0121279,4.4196718,France,2026-05-28,2026-06-03,28.53,36.29,2.63,35.57,79.5
21,Marseille,43.2963986,5.3777888,France,2026-05-28,2026-06-03,25.48,56.86,1.04,17.57,76.17
20,Cassis,43.2140359,5.5396318,France,2026-05-28,2026-06-03,23.39,61.57,1.16,17.71,76.1
19,Bormes les Mimosas,43.1506968,6.3419285,France,2026-05-28,2026-06-03,23.47,64.29,0.77,14.86,75.47
31,Toulouse,43.6044638,1.4442433,France,2026-05-28,2026-06-03,25.12,48.29,3.75,14.29,73.45
26,Aigues Mortes,43.5661521,4.19154,France,2026-05-28,2026-06-03,26.52,48.43,3.03,28.57,73.41
29,Carcassonne,43.2130358,2.3491069,France,2026-05-28,2026-06-03,26.74,42.43,4.23,14.29,73.04
27,Saintes Maries de la mer,43.4515922,4.4277202,France,2026-05-28,2026-06-03,24.76,57.57,3.03,15.57,70.25
23,Avignon,43.9492493,4.8059012,France,2026-05-28,2026-06-03,29.14,37.71,5.56,32.14,67.75
30,Ariege,42.9455368,1.4065544,France,2026-05-28,2026-06-03,20.04,53.71,7.25,30.57,66.62
35,La Rochelle,46.159732,-1.1515951,France,2026-05-28,2026-06-03,21.07,67.43,4.65,17.14,64.44
14,Dijon,47.3215806,5.0414701,France,2026-05-28,2026-06-03,22.86,59.14,5.47,34.71,64.24
12,Eguisheim,48.0447968,7.3079618,France,2026-05-28,2026-06-03,23.73,51.14,6.78,38.14,63.75
32,Montauban,44.0175835,1.3549991,France,2026-05-28,2026-06-03,24.69,52.71,6.63,19.86,61.61
11,Colmar,48.0777517,7.3579641,France,2026-05-28,2026-06-03,23.9,51.57,8.08,38.71,58.85
18,Gorges du Verdon,43.7496562,6.3285616,France,2026-05-28,2026-06-03,23.34,45.43,40.37,53.86,57.48
10,Chateau du Haut Koenigsbourg,48.249382,7.3439412,France,2026-05-28,2026-06-03,21.09,52.0,9.9,36.71,57.19
6,Paris,48.8588897,2.320041,France,2026-05-28,2026-06-03,25.89,40.43,11.36,39.29,56.57
34,Bayonne,43.4945144,-1.4736657,France,2026-05-28,2026-06-03,21.5,65.43,7.65,24.0,55.05
17,Lyon,45.7578137,4.8320114,France,2026-05-28,2026-06-03,25.44,48.29,9.51,26.14,53.71
33,Biarritz,43.4832523,-1.5592776,France,2026-05-28,2026-06-03,20.61,69.43,8.01,25.57,52.67
8,Lille,50.6365654,3.0635282,France,2026-05-28,2026-06-03,23.7,51.86,21.22,54.86,52.6
9,Strasbourg,48.584614,7.7507127,France,2026-05-28,2026-06-03,23.18,54.0,23.41,53.57,52.04
28,Collioure,42.52505,3.0831554,France,2026-05-28,2026-06-03,26.78,49.71,9.09,21.71,51.93
15,Annecy,45.8992348,6.1288847,France,2026-05-28,2026-06-03,24.75,52.14,24.1,51.14,50.66
13,Besancon,47.2380222,6.0243622,France,2026-05-28,2026-06-03,23.7,54.86,12.67,42.86,50.59
7,Amiens,49.8941708,2.2956951,France,2026-05-28,2026-06-03,22.44,60.29,31.75,86.57,49.08
5,Rouen,49.4404591,1.0939658,France,2026-05-28,2026-06-03,22.61,61.57,35.87,88.57,47.93
16,Grenoble,45.1875602,5.7357819,France,2026-05-28,2026-06-03,26.01,55.0,26.86,48.43,46.66
1,Mont Saint Michel,48.6359541,-1.51146,France,2026-05-28,2026-06-03,20.58,69.86,21.2,71.43,45.8
3,Bayeux,49.2764624,-0.7024738,France,2026-05-28,2026-06-03,21.11,69.71,30.15,84.0,45.01
2,St Malo,48.649518,-2.0260409,France,2026-05-28,2026-06-03,19.38,74.57,13.56,71.86,42.58
4,Le Havre,49.4938975,0.1079732,France,2026-05-28,2026-06-03,18.61,75.43,35.48,89.43,40.73
